,RMS,P2P,Variance,Mean
KNN 1,11.195021152496338,11.343528747558594,9.636417388916016,11.16001272201538
KNN 2,11.198557376861572,11.226597309112549,10.24502682685852,11.130085945129395
KNN 3,12.089797496795654,12.065176486968994,10.479715824127197,12.125367879867554
KNN 4,7.606963157653809,7.573854207992554,9.131481170654297,7.736487865447998
KNN 5,9.871947765350342,9.806664228439331,10.65412712097168,9.759741306304932
KNN 6,14.74347472190857,14.954147577285767,8.109673261642456,14.751606225967407
