,RMS,P2P,Variance,Mean
SVM rbf,100.06342363357544,99.88668537139893,124.07812428474426,100.02253031730652
SVM linear,78.30787897109985,78.2616708278656,121.15783500671387,78.21768140792847
SVM sigmoid,39.06548190116882,42.86497092247009,62.37148833274841,42.00635385513306
