,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.7987915407854985
c1_g0.2,1.0,1.0,1.0,0.8287009063444108
c1_g0.4,1.0,1.0,1.0,0.8507552870090634
c1_g0.8,1.0,1.0,1.0,0.8667673716012084
c1_g1.6,1.0,1.0,1.0,0.8845921450151057
c1_g3.2,1.0,1.0,1.0,0.9063444108761329
c1_g6.4,1.0,1.0,1.0,0.9253776435045318
c1_g12.8,1.0,1.0,1.0,0.9347432024169184
c10_g0.1,1.0,1.0,1.0,0.8552870090634441
c10_g0.2,1.0,1.0,1.0,0.8676737160120845
c10_g0.4,1.0,1.0,1.0,0.8785498489425981
c10_g0.8,1.0,1.0,1.0,0.9003021148036254
c10_g1.6,1.0,1.0,1.0,0.9175226586102719
c10_g3.2,1.0,1.0,1.0,0.9299093655589123
c10_g6.4,1.0,1.0,1.0,0.9389728096676737
c10_g12.8,1.0,1.0,1.0,0.9441087613293051
c100_g0.1,1.0,1.0,1.0,0.8740181268882176
c100_g0.2,1.0,1.0,1.0,0.8906344410876132
c100_g0.4,1.0,1.0,1.0,0.911178247734139
c100_g0.8,1.0,1.0,1.0,0.9238670694864048
c100_g1.6,1.0,1.0,1.0,0.9329305135951662
c100_g3.2,1.0,1.0,1.0,0.9401812688821752
c100_g6.4,1.0,1.0,1.0,0.943202416918429
c100_g12.8,1.0,1.0,1.0,0.9489425981873112
c1000_g0.1,1.0,1.0,1.0,0.9039274924471299
c1000_g0.2,1.0,1.0,1.0,0.9181268882175226
c1000_g0.4,1.0,1.0,1.0,0.9262839879154079
c1000_g0.8,1.0,1.0,1.0,0.9347432024169184
c1000_g1.6,1.0,1.0,1.0,0.9410876132930514
c1000_g3.2,1.0,1.0,1.0,0.9441087613293051
c1000_g6.4,1.0,1.0,1.0,0.9480362537764351
c1000_g12.8,1.0,1.0,1.0,0.950453172205438
c10000_g0.1,1.0,1.0,1.0,0.9241691842900303
c10000_g0.2,1.0,1.0,1.0,0.9287009063444108
c10000_g0.4,1.0,1.0,1.0,0.9365558912386707
c10000_g0.8,1.0,1.0,1.0,0.9410876132930514
c10000_g1.6,1.0,1.0,1.0,0.9435045317220544
c10000_g3.2,1.0,1.0,1.0,0.9489425981873112
c10000_g6.4,1.0,1.0,1.0,0.9507552870090634
c10000_g12.8,1.0,1.0,1.0,0.9555891238670695
c100000_g0.1,1.0,1.0,1.0,0.9329305135951662
c100000_g0.2,1.0,1.0,1.0,0.9380664652567976
c100000_g0.4,1.0,1.0,1.0,0.9404833836858006
c100000_g0.8,1.0,1.0,1.0,0.9441087613293051
c100000_g1.6,1.0,1.0,1.0,0.9489425981873112
c100000_g3.2,1.0,1.0,1.0,0.9519637462235649
c100000_g6.4,1.0,1.0,1.0,0.9549848942598187
c100000_g12.8,1.0,1.0,1.0,0.9570996978851963
