,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.8489425981873112
c1_g0.2,1.0,1.0,1.0,0.8489425981873112
c1_g0.4,1.0,1.0,1.0,0.8489425981873112
c1_g0.8,1.0,1.0,1.0,0.8489425981873112
c1_g1.6,1.0,1.0,1.0,0.8489425981873112
c1_g3.2,1.0,1.0,1.0,0.8489425981873112
c1_g6.4,1.0,1.0,1.0,0.8489425981873112
c1_g12.8,1.0,1.0,1.0,0.8489425981873112
c10_g0.1,1.0,1.0,1.0,0.8652567975830816
c10_g0.2,1.0,1.0,1.0,0.8652567975830816
c10_g0.4,1.0,1.0,1.0,0.8652567975830816
c10_g0.8,1.0,1.0,1.0,0.8652567975830816
c10_g1.6,1.0,1.0,1.0,0.8652567975830816
c10_g3.2,1.0,1.0,1.0,0.8652567975830816
c10_g6.4,1.0,1.0,1.0,0.8652567975830816
c10_g12.8,1.0,1.0,1.0,0.8652567975830816
c100_g0.1,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g0.2,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g0.4,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g0.8,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g1.6,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g3.2,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g6.4,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c100_g12.8,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.86797583081571
c1000_g0.1,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g0.2,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g0.4,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g0.8,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g1.6,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g3.2,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g6.4,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c1000_g12.8,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8694864048338369
c10000_g0.1,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g0.2,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g0.4,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g0.8,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g1.6,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g3.2,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g6.4,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c10000_g12.8,0.9990936555891239,0.9990936555891239,0.9990936555891239,0.8709969788519637
c100000_g0.1,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g0.2,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g0.4,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g0.8,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g1.6,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g3.2,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g6.4,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
c100000_g12.8,0.9996978851963746,0.9996978851963746,0.9996978851963746,0.8712990936555891
