,RMS,P2P,Mean,Variance
KNN 1,0.9752265861027191,0.9752265861027191,0.9752265861027191,0.8939577039274924
KNN 2,0.972809667673716,0.972809667673716,0.972809667673716,0.8930513595166163
KNN 3,0.9734138972809667,0.9734138972809667,0.9734138972809667,0.8990936555891239
KNN 4,0.9761329305135952,0.9761329305135952,0.9761329305135952,0.9009063444108761
KNN 5,0.9712990936555891,0.9712990936555891,0.9712990936555891,0.904833836858006
KNN 6,0.9700906344410876,0.9700906344410876,0.9700906344410876,0.9045317220543807
