,RMS,P2P,Variance,Mean
SVM rbf,0.6287009063444109,0.6287009063444109,0.5380664652567976,0.6287009063444109
SVM linear,0.5474320241691842,0.5474320241691842,0.41178247734138973,0.5474320241691842
SVM sigmoid,0.416012084592145,0.416012084592145,0.3821752265861027,0.416012084592145
