,RMS,P2P,Variance,Mean
SVM rbf,216.90408539772034,215.8066282272339,433.19362926483154,215.12578082084656
SVM linear,338.7208755016327,331.54732871055603,322.38705587387085,327.2802062034607
SVM sigmoid,100.89985609054565,100.54638385772705,301.23907375335693,99.10012578964233
