,RMS,P2P,Variance,Mean
SVM rbf,37.29297184944153,37.26522636413574,53.55563950538635,37.319130659103394
SVM linear,38.680198431015015,38.62568521499634,43.04757785797119,38.68699502944946
SVM sigmoid,28.637884616851807,28.714600086212158,13.80539059638977,28.70110774040222
