,RMS,P2P,Mean,Variance
KNN 1,0.9962235649546828,0.9962235649546828,0.9962235649546828,0.8889728096676737
KNN 2,0.9962235649546828,0.9962235649546828,0.9962235649546828,0.8851963746223565
KNN 3,0.9962235649546828,0.9962235649546828,0.9962235649546828,0.9003021148036254
KNN 4,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9025679758308157
KNN 5,0.9939577039274925,0.9939577039274925,0.9939577039274925,0.9101208459214502
KNN 6,0.993202416918429,0.993202416918429,0.993202416918429,0.9101208459214502
