,RMS,P2P,Mean,Variance
KNN 1,0.9691842900302114,0.9691842900302114,0.9691842900302114,0.9057401812688822
KNN 2,0.9661631419939577,0.9661631419939577,0.9661631419939577,0.9057401812688822
KNN 3,0.9719033232628399,0.9719033232628399,0.9719033232628399,0.9238670694864048
KNN 4,0.961631419939577,0.961631419939577,0.961631419939577,0.9250755287009064
KNN 5,0.9649546827794562,0.9649546827794562,0.9649546827794562,0.9268882175226586
KNN 6,0.9679758308157099,0.9679758308157099,0.9679758308157099,0.9208459214501511
