,RMS,P2P,Mean,Variance
KNN 1,0.9939577039274925,0.9939577039274925,0.9939577039274925,0.8950151057401813
KNN 2,0.9924471299093656,0.9924471299093656,0.9924471299093656,0.8829305135951662
KNN 3,0.993202416918429,0.993202416918429,0.993202416918429,0.8919939577039275
KNN 4,0.9916918429003021,0.9916918429003021,0.9916918429003021,0.8882175226586103
KNN 5,0.9924471299093656,0.9924471299093656,0.9924471299093656,0.8987915407854985
KNN 6,0.9924471299093656,0.9924471299093656,0.9924471299093656,0.8867069486404834
