,RMS,P2P,Mean,Variance
RF 40,0.9894259818731118,0.9901812688821753,0.9901812688821753,0.9305135951661632
RF 60,0.9909365558912386,0.9901812688821753,0.9901812688821753,0.9327794561933535
RF 80,0.9901812688821753,0.9901812688821753,0.9894259818731118,0.9373111782477341
RF 100,0.9879154078549849,0.9909365558912386,0.9886706948640483,0.9350453172205438
RF 120,0.9901812688821753,0.9856495468277946,0.9901812688821753,0.9312688821752266
