,RMS,P2P,Variance,Mean
KNN 1,0.8557401812688822,0.8557401812688822,0.6515609264853978,0.8557401812688822
KNN 2,0.8476837865055388,0.8476837865055388,0.6268882175226587,0.8476837865055388
KNN 3,0.850956696878147,0.850956696878147,0.6540785498489426,0.850956696878147
KNN 4,0.8429003021148036,0.8429003021148036,0.6606243705941591,0.8429003021148036
KNN 5,0.8429003021148036,0.8429003021148036,0.6570996978851964,0.8429003021148036
KNN 6,0.8270392749244713,0.8270392749244713,0.6646525679758308,0.8270392749244713
