,RMS,P2P,Variance,Mean
KNN 1,2.774868965148926,2.7567331790924072,2.9483537673950195,2.740041494369507
KNN 2,2.8697757720947266,2.822888135910034,3.107117176055908,2.8152174949645996
KNN 3,2.864835500717163,2.8531503677368164,3.0707390308380127,2.8759701251983643
KNN 4,2.8786659240722656,2.8979270458221436,3.140864610671997,2.907822608947754
KNN 5,2.9318583011627197,2.97301983833313,3.250004529953003,2.867676258087158
KNN 6,2.9504895210266113,2.869873285293579,3.1398563385009766,2.924863815307617
