,RMS,P2P,Variance,Mean
KNN 1,1.211329460144043,1.2527799606323242,2.179399251937866,1.2703359127044678
KNN 2,1.2499523162841797,1.221489429473877,1.683396577835083,1.289851427078247
KNN 3,2.200406074523926,2.2082433700561523,1.2465412616729736,2.2050228118896484
KNN 4,1.289607286453247,1.2982492446899414,2.349067449569702,1.262220859527588
KNN 5,1.5158805847167969,1.479668140411377,2.786775827407837,1.4836347103118896
KNN 6,1.2850184440612793,1.2957391738891602,1.5189015865325928,1.2803497314453125
