,RMS,P2P,Mean,Variance
KNN 1,0.9788519637462235,0.9788519637462235,0.9788519637462235,0.9577039274924471
KNN 2,0.9758308157099698,0.9758308157099698,0.9758308157099698,0.947129909365559
KNN 3,0.9712990936555891,0.9712990936555891,0.9712990936555891,0.945619335347432
KNN 4,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.93202416918429
KNN 5,0.9637462235649547,0.9637462235649547,0.9637462235649547,0.9259818731117825
KNN 6,0.9652567975830816,0.9652567975830816,0.9652567975830816,0.9365558912386707
