,RMS,P2P,Mean,Variance,gamma,C
0,0.48338368580060426,0.48338368580060426,0.48338368580060426,0.4818731117824773,0.1,10
1,0.6404833836858006,0.6404833836858006,0.6404833836858006,0.5800604229607251,1.0,10
2,0.7054380664652568,0.7054380664652568,0.7054380664652568,0.7054380664652568,10.0,10
3,0.8293051359516617,0.8293051359516617,0.8293051359516617,0.8262839879154078,100.0,10
4,0.486404833836858,0.486404833836858,0.486404833836858,0.5483383685800605,0.1,100
5,0.6888217522658611,0.6888217522658611,0.6888217522658611,0.6510574018126888,1.0,100
6,0.770392749244713,0.770392749244713,0.770392749244713,0.7552870090634441,10.0,100
7,0.850453172205438,0.850453172205438,0.850453172205438,0.8459214501510574,100.0,100
8,0.5861027190332326,0.5861027190332326,0.5861027190332326,0.5755287009063444,0.1,1000
9,0.702416918429003,0.702416918429003,0.702416918429003,0.6797583081570997,1.0,1000
10,0.8036253776435045,0.8036253776435045,0.8036253776435045,0.7930513595166163,10.0,1000
11,0.851963746223565,0.851963746223565,0.851963746223565,0.8444108761329305,100.0,1000
12,0.6601208459214502,0.6601208459214502,0.6601208459214502,0.6329305135951662,0.1,10000
13,0.7235649546827795,0.7235649546827795,0.7235649546827795,0.7054380664652568,1.0,10000
14,0.8398791540785498,0.8398791540785498,0.8398791540785498,0.7824773413897281,10.0,10000
15,0.8610271903323263,0.8610271903323263,0.8610271903323263,0.8277945619335347,100.0,10000
16,0.6978851963746223,0.6978851963746223,0.6978851963746223,0.6812688821752266,0.1,100000
17,0.7764350453172205,0.7764350453172205,0.7764350453172205,0.7401812688821753,1.0,100000
18,0.8429003021148036,0.8429003021148036,0.8429003021148036,0.783987915407855,10.0,100000
19,0.8610271903323263,0.8610271903323263,0.8610271903323263,0.8006042296072508,100.0,100000
20,0.702416918429003,0.702416918429003,0.702416918429003,0.6963746223564955,0.1,1000000
21,0.8126888217522659,0.8126888217522659,0.8126888217522659,0.7854984894259819,1.0,1000000
22,0.8429003021148036,0.8429003021148036,0.8429003021148036,0.823262839879154,10.0,1000000
23,0.8489425981873112,0.8489425981873112,0.8489425981873112,0.7900302114803626,100.0,1000000
24,0.7129909365558912,0.7129909365558912,0.7129909365558912,0.7009063444108762,0.1,10000000
25,0.8066465256797583,0.8066465256797583,0.8066465256797583,0.7643504531722054,1.0,10000000
26,0.8368580060422961,0.8368580060422961,0.8368580060422961,0.8111782477341389,10.0,10000000
27,0.8459214501510574,0.8459214501510574,0.8459214501510574,0.7900302114803626,100.0,10000000
