,RMS,P2P,Variance,Mean
KNN 1,8.824899435043335,8.842205286026001,8.313045978546143,8.947647333145142
KNN 2,11.157131671905518,11.13506269454956,10.244884252548218,11.192049741744995
KNN 3,11.222397565841675,11.288804769515991,10.556556224822998,11.234412670135498
KNN 4,7.415868043899536,7.497729778289795,10.352167129516602,7.550013065338135
KNN 5,9.734701871871948,9.508472204208374,9.118041753768921,9.567473411560059
KNN 6,6.483641624450684,6.447544574737549,10.596763372421265,6.372237682342529
