,RMS,P2P,Variance,Mean
RF 40,13.275579929351807,14.746716022491455,14.635811805725098,13.110501766204834
RF 60,22.180521965026855,22.45604372024536,21.911149978637695,22.2869234085083
RF 80,29.665807723999023,29.4291889667511,32.60822010040283,32.21449828147888
RF 100,40.5032000541687,36.6661958694458,50.52456331253052,45.21862435340881
RF 120,44.27152228355408,43.721118688583374,60.37573051452637,59.58587455749512
