,RMS,P2P,Mean,Variance
KNN 1,0.9642497482376636,0.9642497482376636,0.9642497482376636,0.918429003021148
KNN 2,0.9642497482376636,0.9642497482376636,0.9642497482376636,0.918429003021148
KNN 3,0.9687814702920443,0.9687814702920443,0.9687814702920443,0.9279959718026183
KNN 4,0.9662638469284995,0.9662638469284995,0.9662638469284995,0.9259818731117825
KNN 5,0.9702920443101712,0.9702920443101712,0.9702920443101712,0.9295065458207452
KNN 6,0.9662638469284995,0.9662638469284995,0.9662638469284995,0.9290030211480362
