,RMS,P2P,Mean,Variance,gamma,C
0,0.6978851963746223,0.6978851963746223,0.6978851963746223,0.5996978851963746,0.1,10
1,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8867069486404834,1.0,10
2,0.972809667673716,0.972809667673716,0.972809667673716,0.9154078549848943,10.0,10
3,0.986404833836858,0.986404833836858,0.986404833836858,0.9244712990936556,100.0,10
4,0.8368580060422961,0.8368580060422961,0.8368580060422961,0.823262839879154,0.1,100
5,0.9652567975830816,0.9652567975830816,0.9652567975830816,0.8987915407854985,1.0,100
6,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9259818731117825,10.0,100
7,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.93202416918429,100.0,100
8,0.9123867069486404,0.9123867069486404,0.9123867069486404,0.8564954682779456,0.1,1000
9,0.9788519637462235,0.9788519637462235,0.9788519637462235,0.9169184290030211,1.0,1000
10,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9290030211480362,10.0,1000
11,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9365558912386707,100.0,1000
12,0.9607250755287009,0.9607250755287009,0.9607250755287009,0.8897280966767371,0.1,10000
13,0.9803625377643505,0.9803625377643505,0.9803625377643505,0.9214501510574018,1.0,10000
14,0.986404833836858,0.986404833836858,0.986404833836858,0.9335347432024169,10.0,10000
15,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9380664652567976,100.0,10000
16,0.9622356495468278,0.9622356495468278,0.9622356495468278,0.9078549848942599,0.1,100000
17,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9350453172205438,1.0,100000
18,0.986404833836858,0.986404833836858,0.986404833836858,0.9335347432024169,10.0,100000
19,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9365558912386707,100.0,100000
20,0.9803625377643505,0.9803625377643505,0.9803625377643505,0.9244712990936556,0.1,1000000
21,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9350453172205438,1.0,1000000
22,0.986404833836858,0.986404833836858,0.986404833836858,0.9350453172205438,10.0,1000000
23,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9259818731117825,100.0,1000000
24,0.9773413897280967,0.9773413897280967,0.9773413897280967,0.9214501510574018,0.1,10000000
25,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.93202416918429,1.0,10000000
26,0.986404833836858,0.986404833836858,0.986404833836858,0.9380664652567976,10.0,10000000
27,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9335347432024169,100.0,10000000
