,RMS,P2P,Variance,Mean
KNN 1,0.9909365558912386,0.9909365558912386,0.9894259818731118,0.9909365558912386
KNN 2,0.9879154078549849,0.9879154078549849,0.986404833836858,0.9879154078549849
KNN 3,0.9909365558912386,0.9909365558912386,0.986404833836858,0.9909365558912386
KNN 4,0.986404833836858,0.986404833836858,0.9848942598187311,0.986404833836858
KNN 5,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9848942598187311
KNN 6,0.9818731117824774,0.9818731117824774,0.9833836858006042,0.9818731117824774
