,RMS,P2P,Variance,Mean
KNN 1,16.202224016189575,16.163588047027588,12.371201276779175,16.316202640533447
KNN 2,17.409961223602295,18.16420578956604,13.741516828536987,18.197264432907104
KNN 3,17.869635581970215,18.4385724067688,13.78510594367981,18.02741837501526
KNN 4,18.731470108032227,18.13769507408142,12.324519634246826,18.228893041610718
KNN 5,18.745694398880005,18.78747797012329,12.677455186843872,18.432122707366943
KNN 6,18.758835792541504,18.703730583190918,14.064120531082153,18.322015047073364
