,RMSP2P,Variance,Mean
KNN 1,1.0,0.9495468277945619,1.0
KNN 2,1.0,0.9468277945619336,1.0
KNN 3,1.0,0.8761329305135952,1.0
KNN 4,1.0,0.8691842900302115,1.0
KNN 5,1.0,0.8882175226586103,1.0
KNN 6,1.0,0.8870090634441088,1.0
