,RMS,P2P,Mean,Variance
RF 40,1.0,1.0,1.0,0.9918429003021147
RF 60,1.0,1.0,1.0,0.9942598187311178
RF 80,1.0,1.0,1.0,0.992749244712991
RF 100,1.0,1.0,1.0,0.9915407854984895
RF 120,1.0,1.0,1.0,0.9939577039274925
