,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.8039274924471299
c1_g0.2,1.0,1.0,1.0,0.8347432024169185
c1_g0.4,1.0,1.0,1.0,0.8583081570996979
c1_g0.8,1.0,1.0,1.0,0.8779456193353474
c1_g1.6,1.0,1.0,1.0,0.8969788519637463
c1_g3.2,1.0,1.0,1.0,0.9163141993957704
c1_g6.4,1.0,1.0,1.0,0.9305135951661632
c1_g12.8,1.0,1.0,1.0,0.9371601208459215
c10_g0.1,1.0,1.0,1.0,0.859214501510574
c10_g0.2,1.0,1.0,1.0,0.8749244712990937
c10_g0.4,1.0,1.0,1.0,0.8942598187311178
c10_g0.8,1.0,1.0,1.0,0.913595166163142
c10_g1.6,1.0,1.0,1.0,0.9262839879154079
c10_g3.2,1.0,1.0,1.0,0.9362537764350454
c10_g6.4,1.0,1.0,1.0,0.9441087613293051
c10_g12.8,1.0,1.0,1.0,0.9486404833836858
c100_g0.1,1.0,1.0,1.0,0.8873111782477341
c100_g0.2,1.0,1.0,1.0,0.9084592145015106
c100_g0.4,1.0,1.0,1.0,0.9229607250755287
c100_g0.8,1.0,1.0,1.0,0.9332326283987915
c100_g1.6,1.0,1.0,1.0,0.9392749244712991
c100_g3.2,1.0,1.0,1.0,0.9450151057401812
c100_g6.4,1.0,1.0,1.0,0.9489425981873112
c100_g12.8,1.0,1.0,1.0,0.9525679758308158
c1000_g0.1,1.0,1.0,1.0,0.9223564954682779
c1000_g0.2,1.0,1.0,1.0,0.9293051359516616
c1000_g0.4,1.0,1.0,1.0,0.934441087613293
c1000_g0.8,1.0,1.0,1.0,0.9407854984894259
c1000_g1.6,1.0,1.0,1.0,0.9450151057401812
c1000_g3.2,1.0,1.0,1.0,0.9522658610271904
c1000_g6.4,1.0,1.0,1.0,0.9513595166163142
c1000_g12.8,1.0,1.0,1.0,0.9546827794561934
c10000_g0.1,1.0,1.0,1.0,0.9329305135951662
c10000_g0.2,1.0,1.0,1.0,0.934441087613293
c10000_g0.4,1.0,1.0,1.0,0.9395770392749244
c10000_g0.8,1.0,1.0,1.0,0.945619335347432
c10000_g1.6,1.0,1.0,1.0,0.9519637462235649
c10000_g3.2,1.0,1.0,1.0,0.9516616314199395
c10000_g6.4,1.0,1.0,1.0,0.9531722054380665
c10000_g12.8,1.0,1.0,1.0,0.9522658610271904
c100000_g0.1,1.0,1.0,1.0,0.9365558912386707
c100000_g0.2,1.0,1.0,1.0,0.9425981873111783
c100000_g0.4,1.0,1.0,1.0,0.945619335347432
c100000_g0.8,1.0,1.0,1.0,0.9519637462235649
c100000_g1.6,1.0,1.0,1.0,0.9507552870090634
c100000_g3.2,1.0,1.0,1.0,0.9528700906344411
c100000_g6.4,1.0,1.0,1.0,0.9498489425981873
c100000_g12.8,1.0,1.0,1.0,0.9501510574018127
