,RMS,P2P,Mean,Variance
KNN 1,0.8604229607250755,0.8604229607250755,0.8604229607250755,0.6873111782477341
KNN 2,0.8577039274924472,0.8577039274924472,0.8577039274924472,0.6867069486404834
KNN 3,0.8595166163141994,0.8595166163141994,0.8595166163141994,0.695166163141994
KNN 4,0.8655589123867069,0.8655589123867069,0.8655589123867069,0.6957703927492447
KNN 5,0.8628398791540786,0.8628398791540786,0.8628398791540786,0.7003021148036254
KNN 6,0.8604229607250755,0.8604229607250755,0.8604229607250755,0.6966767371601208
