,RMS,P2P,Variance,Mean
KNN 1,14.32378101348877,14.474294900894165,12.01995849609375,14.509751558303833
KNN 2,15.418439865112305,15.320122003555298,12.499303579330444,15.360759258270264
KNN 3,15.719754457473755,15.691322803497314,4.1538405418396,15.733769178390503
KNN 4,15.976930379867554,16.131219148635864,4.185174465179443,16.10673975944519
KNN 5,16.326342821121216,16.34359908103943,4.240025997161865,16.23754906654358
KNN 6,16.45046043395996,16.36333990097046,4.291902303695679,16.269229412078857
