,RMSP2P,Variance,Mean
KNN 1,3.4610824584960938,4.6998515129089355,3.445847511291504
KNN 2,5.262852668762207,4.910496950149536,5.150817394256592
KNN 3,5.247347116470337,4.264603614807129,5.289947986602783
KNN 4,7.030051946640015,3.653029680252075,7.176215171813965
KNN 5,5.354844570159912,5.124158143997192,5.335777282714844
KNN 6,5.85497522354126,5.810189247131348,5.810988187789917
