,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.7175226586102719
c1_g0.2,1.0,1.0,1.0,0.8308157099697885
c1_g0.4,1.0,1.0,1.0,0.9055891238670695
c1_g0.8,1.0,1.0,1.0,0.9305135951661632
c1_g1.6,1.0,1.0,1.0,0.947129909365559
c1_g3.2,1.0,1.0,1.0,0.9561933534743202
c1_g6.4,1.0,1.0,1.0,0.9629909365558912
c1_g12.8,1.0,1.0,1.0,0.966012084592145
c10_g0.1,1.0,1.0,1.0,0.9327794561933535
c10_g0.2,1.0,1.0,1.0,0.9441087613293051
c10_g0.4,1.0,1.0,1.0,0.9516616314199395
c10_g0.8,1.0,1.0,1.0,0.9622356495468278
c10_g1.6,1.0,1.0,1.0,0.9667673716012085
c10_g3.2,1.0,1.0,1.0,0.9675226586102719
c10_g6.4,1.0,1.0,1.0,0.9697885196374623
c10_g12.8,1.0,1.0,1.0,0.974320241691843
c100_g0.1,1.0,1.0,1.0,0.9531722054380665
c100_g0.2,1.0,1.0,1.0,0.9645015105740181
c100_g0.4,1.0,1.0,1.0,0.9690332326283988
c100_g0.8,1.0,1.0,1.0,0.9682779456193353
c100_g1.6,1.0,1.0,1.0,0.9697885196374623
c100_g3.2,1.0,1.0,1.0,0.972809667673716
c100_g6.4,1.0,1.0,1.0,0.974320241691843
c100_g12.8,1.0,1.0,1.0,0.979607250755287
c1000_g0.1,1.0,1.0,1.0,0.9705438066465257
c1000_g0.2,1.0,1.0,1.0,0.9705438066465257
c1000_g0.4,1.0,1.0,1.0,0.9705438066465257
c1000_g0.8,1.0,1.0,1.0,0.9712990936555891
c1000_g1.6,1.0,1.0,1.0,0.9735649546827795
c1000_g3.2,1.0,1.0,1.0,0.9803625377643505
c1000_g6.4,1.0,1.0,1.0,0.9833836858006042
c1000_g12.8,1.0,1.0,1.0,0.9826283987915407
c10000_g0.1,1.0,1.0,1.0,0.9720543806646526
c10000_g0.2,1.0,1.0,1.0,0.9697885196374623
c10000_g0.4,1.0,1.0,1.0,0.9712990936555891
c10000_g0.8,1.0,1.0,1.0,0.9780966767371602
c10000_g1.6,1.0,1.0,1.0,0.9818731117824774
c10000_g3.2,1.0,1.0,1.0,0.9788519637462235
c10000_g6.4,1.0,1.0,1.0,0.9833836858006042
c10000_g12.8,1.0,1.0,1.0,0.9811178247734139
c100000_g0.1,1.0,1.0,1.0,0.9697885196374623
c100000_g0.2,1.0,1.0,1.0,0.9758308157099698
c100000_g0.4,1.0,1.0,1.0,0.9803625377643505
c100000_g0.8,1.0,1.0,1.0,0.9803625377643505
c100000_g1.6,1.0,1.0,1.0,0.9780966767371602
c100000_g3.2,1.0,1.0,1.0,0.9765861027190332
c100000_g6.4,1.0,1.0,1.0,0.9780966767371602
c100000_g12.8,1.0,1.0,1.0,0.9780966767371602
