,RMS,P2P,Mean,Variance
c1_g0.1,0.9924471299093656,0.9924471299093656,0.9924471299093656,0.4743202416918429
c1_g0.2,0.9969788519637462,0.9969788519637462,0.9969788519637462,0.5506042296072508
c1_g0.4,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5521148036253777
c1_g0.8,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5219033232628398
c1_g1.6,0.9947129909365559,0.9947129909365559,0.9947129909365559,0.45770392749244715
c1_g3.2,0.9584592145015106,0.9584592145015106,0.9584592145015106,0.2998489425981873
c1_g6.4,0.4773413897280967,0.4773413897280967,0.4773413897280967,0.30513595166163143
c1_g12.8,0.3187311178247734,0.3187311178247734,0.3187311178247734,0.33157099697885195
c10_g0.1,0.9992447129909365,0.9992447129909365,0.9992447129909365,0.5264350453172205
c10_g0.2,0.9992447129909365,0.9992447129909365,0.9992447129909365,0.5075528700906344
c10_g0.4,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5015105740181269
c10_g0.8,0.9977341389728097,0.9977341389728097,0.9977341389728097,0.44637462235649544
c10_g1.6,0.9735649546827795,0.9735649546827795,0.9735649546827795,0.297583081570997
c10_g3.2,0.8761329305135952,0.8761329305135952,0.8761329305135952,0.3104229607250755
c10_g6.4,0.5060422960725075,0.5060422960725075,0.5060422960725075,0.3338368580060423
c10_g12.8,0.3187311178247734,0.3187311178247734,0.3187311178247734,0.2711480362537764
c100_g0.1,1.0,1.0,1.0,0.5030211480362538
c100_g0.2,1.0,1.0,1.0,0.4962235649546828
c100_g0.4,0.9977341389728097,0.9977341389728097,0.9977341389728097,0.44033232628398794
c100_g0.8,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.297583081570997
c100_g1.6,0.966012084592145,0.966012084592145,0.966012084592145,0.33157099697885195
c100_g3.2,0.8338368580060423,0.8338368580060423,0.8338368580060423,0.3496978851963746
c100_g6.4,0.36178247734138974,0.36178247734138974,0.36178247734138974,0.25
c100_g12.8,0.3187311178247734,0.3187311178247734,0.3187311178247734,0.3323262839879154
c1000_g0.1,1.0,1.0,1.0,0.4947129909365559
c1000_g0.2,0.9992447129909365,0.9992447129909365,0.9992447129909365,0.43277945619335345
c1000_g0.4,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.30060422960725075
c1000_g0.8,0.9909365558912386,0.9909365558912386,0.9909365558912386,0.3421450151057402
c1000_g1.6,0.966012084592145,0.966012084592145,0.966012084592145,0.3640483383685801
c1000_g3.2,0.8187311178247734,0.8187311178247734,0.8187311178247734,0.35876132930513593
c1000_g6.4,0.2945619335347432,0.2945619335347432,0.2945619335347432,0.24395770392749244
c1000_g12.8,0.14274924471299094,0.14274924471299094,0.14274924471299094,0.33157099697885195
c10000_g0.1,0.9992447129909365,0.9992447129909365,0.9992447129909365,0.425226586102719
c10000_g0.2,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.3066465256797583
c10000_g0.4,0.9947129909365559,0.9947129909365559,0.9947129909365559,0.34441087613293053
c10000_g0.8,0.9894259818731118,0.9894259818731118,0.9894259818731118,0.3685800604229607
c10000_g1.6,0.966012084592145,0.966012084592145,0.966012084592145,0.3716012084592145
c10000_g3.2,0.81797583081571,0.81797583081571,0.81797583081571,0.36027190332326287
c10000_g6.4,0.28851963746223563,0.28851963746223563,0.28851963746223563,0.243202416918429
c10000_g12.8,0.3935045317220544,0.3935045317220544,0.3935045317220544,0.3330815709969788
c100000_g0.1,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.3119335347432024
c100000_g0.2,0.9947129909365559,0.9947129909365559,0.9947129909365559,0.34365558912386707
c100000_g0.4,0.9947129909365559,0.9947129909365559,0.9947129909365559,0.3716012084592145
c100000_g0.8,0.9886706948640483,0.9886706948640483,0.9886706948640483,0.3731117824773414
c100000_g1.6,0.9652567975830816,0.9652567975830816,0.9652567975830816,0.3716012084592145
c100000_g3.2,0.8172205438066465,0.8172205438066465,0.8172205438066465,0.36027190332326287
c100000_g6.4,0.2877643504531722,0.2877643504531722,0.2877643504531722,0.3504531722054381
c100000_g12.8,0.24018126888217523,0.24018126888217523,0.24018126888217523,0.3330815709969788
