,RMSP2P,Variance,Mean
KNN 1,0.8604229607250755,0.6984894259818731,0.8604229607250755
KNN 2,0.8564954682779456,0.6761329305135951,0.8564954682779456
KNN 3,0.8601208459214501,0.6933534743202417,0.8601208459214501
KNN 4,0.8525679758308157,0.7018126888217523,0.8525679758308157
KNN 5,0.8525679758308157,0.6987915407854985,0.8525679758308157
KNN 6,0.8425981873111782,0.7012084592145015,0.8425981873111782
