,RMS,P2P,Variance,Mean
RF 40,8.719859838485718,7.18132209777832,6.047322511672974,8.82746934890747
RF 60,13.157432794570923,13.018704891204834,12.074739694595337,15.212753057479858
RF 80,17.120980978012085,15.741196155548096,14.024726152420044,23.183980464935303
RF 100,19.520148992538452,21.84343719482422,19.9491970539093,21.628628969192505
RF 120,34.93117356300354,31.263002395629883,21.13391375541687,25.662770986557007
