,RMS,P2P,Variance,Mean
SVM rbf,39.83673143386841,39.75332522392273,51.34490203857422,39.68602967262268
SVM linear,40.95478868484497,41.01106286048889,39.03923273086548,41.14652156829834
SVM sigmoid,13.504227638244629,13.523809432983398,27.33069920539856,13.516133069992065
