,RMS,P2P,Mean,Variance
c1_g0.1,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.3187311178247734
c1_g0.2,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.3187311178247734
c1_g0.4,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.3187311178247734
c1_g0.8,0.979607250755287,0.979607250755287,0.979607250755287,0.3187311178247734
c1_g1.6,0.899546827794562,0.899546827794562,0.899546827794562,0.3187311178247734
c1_g3.2,0.7824773413897281,0.7824773413897281,0.7824773413897281,0.31948640483383683
c1_g6.4,0.5649546827794562,0.5649546827794562,0.5649546827794562,0.324773413897281
c1_g12.8,0.3187311178247734,0.3187311178247734,0.3187311178247734,0.3323262839879154
c10_g0.1,0.9894259818731118,0.9894259818731118,0.9894259818731118,0.3187311178247734
c10_g0.2,0.9916918429003021,0.9916918429003021,0.9916918429003021,0.3187311178247734
c10_g0.4,0.9856495468277946,0.9856495468277946,0.9856495468277946,0.32099697885196377
c10_g0.8,0.9516616314199395,0.9516616314199395,0.9516616314199395,0.32779456193353473
c10_g1.6,0.8496978851963746,0.8496978851963746,0.8496978851963746,0.3391238670694864
c10_g3.2,0.8957703927492447,0.8957703927492447,0.8957703927492447,0.3595166163141994
c10_g6.4,0.5309667673716012,0.5309667673716012,0.5309667673716012,0.3859516616314199
c10_g12.8,0.6125377643504532,0.6125377643504532,0.6125377643504532,0.40181268882175225
c100_g0.1,0.9969788519637462,0.9969788519637462,0.9969788519637462,0.3300604229607251
c100_g0.2,0.9909365558912386,0.9909365558912386,0.9909365558912386,0.3421450151057402
c100_g0.4,0.966012084592145,0.966012084592145,0.966012084592145,0.3685800604229607
c100_g0.8,0.9154078549848943,0.9154078549848943,0.9154078549848943,0.4123867069486405
c100_g1.6,0.831570996978852,0.831570996978852,0.831570996978852,0.4093655589123867
c100_g3.2,0.8957703927492447,0.8957703927492447,0.8957703927492447,0.4078549848942598
c100_g6.4,0.5,0.5,0.5,0.4418429003021148
c100_g12.8,0.3164652567975831,0.3164652567975831,0.3164652567975831,0.3972809667673716
c1000_g0.1,0.9962235649546828,0.9962235649546828,0.9962235649546828,0.4078549848942598
c1000_g0.2,0.9788519637462235,0.9788519637462235,0.9788519637462235,0.43655589123867067
c1000_g0.4,0.9569486404833837,0.9569486404833837,0.9569486404833837,0.4395770392749245
c1000_g0.8,0.9131419939577039,0.9131419939577039,0.9131419939577039,0.4312688821752266
c1000_g1.6,0.8270392749244713,0.8270392749244713,0.8270392749244713,0.4342900302114804
c1000_g3.2,0.8919939577039275,0.8919939577039275,0.8919939577039275,0.4161631419939577
c1000_g6.4,0.6865558912386707,0.6865558912386707,0.6865558912386707,0.411631419939577
c1000_g12.8,0.3406344410876133,0.3406344410876133,0.3406344410876133,0.37084592145015105
c10000_g0.1,0.9909365558912386,0.9909365558912386,0.9909365558912386,0.44637462235649544
c10000_g0.2,0.9780966767371602,0.9780966767371602,0.9780966767371602,0.44939577039274925
c10000_g0.4,0.9675226586102719,0.9675226586102719,0.9675226586102719,0.4335347432024169
c10000_g0.8,0.9138972809667674,0.9138972809667674,0.9138972809667674,0.3889728096676737
c10000_g1.6,0.8270392749244713,0.8270392749244713,0.8270392749244713,0.41465256797583083
c10000_g3.2,0.8912386706948641,0.8912386706948641,0.8912386706948641,0.4040785498489426
c10000_g6.4,0.6842900302114804,0.6842900302114804,0.6842900302114804,0.3783987915407855
c10000_g12.8,0.36027190332326287,0.36027190332326287,0.36027190332326287,0.3542296072507553
c100000_g0.1,0.9909365558912386,0.9909365558912386,0.9909365558912386,0.4478851963746224
c100000_g0.2,0.9780966767371602,0.9780966767371602,0.9780966767371602,0.42673716012084595
c100000_g0.4,0.9667673716012085,0.9667673716012085,0.9667673716012085,0.3821752265861027
c100000_g0.8,0.9131419939577039,0.9131419939577039,0.9131419939577039,0.3851963746223565
c100000_g1.6,0.8270392749244713,0.8270392749244713,0.8270392749244713,0.5551359516616314
c100000_g3.2,0.8912386706948641,0.8912386706948641,0.8912386706948641,0.3814199395770393
c100000_g6.4,0.6827794561933535,0.6827794561933535,0.6827794561933535,0.3919939577039275
c100000_g12.8,0.4773413897280967,0.4773413897280967,0.4773413897280967,0.34516616314199394
