,RMS,P2P,Mean,Variance
KNN 1,1.0,1.0,1.0,0.9826283987915407
KNN 2,1.0,1.0,1.0,0.9645015105740181
KNN 3,1.0,1.0,1.0,0.9871601208459214
KNN 4,1.0,1.0,1.0,0.986404833836858
KNN 5,1.0,1.0,1.0,0.986404833836858
KNN 6,1.0,1.0,1.0,0.9871601208459214
