,RMS,P2P,Mean,Variance
KNN 1,0.9682779456193353,0.9682779456193353,0.9682779456193353,0.9358006042296072
KNN 2,0.9750755287009063,0.9750755287009063,0.9750755287009063,0.93202416918429
KNN 3,0.974320241691843,0.974320241691843,0.974320241691843,0.9335347432024169
KNN 4,0.9780966767371602,0.9780966767371602,0.9780966767371602,0.9335347432024169
KNN 5,0.974320241691843,0.974320241691843,0.974320241691843,0.9395770392749244
KNN 6,0.9735649546827795,0.9735649546827795,0.9735649546827795,0.9350453172205438
