,RMS,P2P,Variance,Mean
KNN 1,0.9682779456193353,0.9682779456193353,0.9358006042296072,0.9682779456193353
KNN 2,0.9735649546827795,0.9735649546827795,0.9410876132930514,0.9735649546827795
KNN 3,0.9750755287009063,0.9750755287009063,0.9380664652567976,0.9750755287009063
KNN 4,0.9720543806646526,0.9720543806646526,0.9365558912386707,0.9720543806646526
KNN 5,0.9705438066465257,0.9705438066465257,0.9342900302114804,0.9705438066465257
KNN 6,0.9682779456193353,0.9682779456193353,0.9335347432024169,0.9682779456193353
