,RMS,P2P,Variance,Mean
KNN 1,13.460129499435425,13.98488736152649,5.165863037109375,13.608194351196289
KNN 2,14.101919889450073,14.11788034439087,4.049650192260742,14.228271245956421
KNN 3,14.41295838356018,14.46016263961792,4.1628642082214355,14.732242584228516
KNN 4,14.836350202560425,14.672456502914429,3.9705326557159424,14.950749158859253
KNN 5,15.334288597106934,15.207635164260864,3.955021619796753,14.865361452102661
KNN 6,15.05539345741272,15.034948825836182,4.064164400100708,15.080199241638184
