,RMSP2P,Variance,Mean
SVM rbf,40.4256010055542,63.576210260391235,39.82475399971008
SVM linear,55.844964265823364,49.883445739746094,53.12674379348755
SVM sigmoid,16.653862953186035,27.92634391784668,17.356346130371094
