,RMS,P2P,Variance,Mean
KNN 1,3.8199687004089355,3.845108985900879,3.787337303161621,3.8031890392303467
KNN 2,3.742429494857788,3.766770124435425,2.4942519664764404,3.7156717777252197
KNN 3,3.764259099960327,3.7758800983428955,4.1048424243927,3.7352287769317627
KNN 4,3.465001344680786,3.4148457050323486,2.634078025817871,3.425913095474243
KNN 5,3.3373594284057617,3.4473278522491455,3.1634745597839355,3.4099018573760986
KNN 6,3.4929513931274414,3.372046947479248,3.127269744873047,3.4450862407684326
