,RMS,P2P,Mean,Variance,gamma,C
0,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.1,1
1,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.2,1
2,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.4,1
3,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.8,1
4,0.5196374622356495,0.5196374622356495,0.5196374622356495,0.49395770392749244,1.6,1
5,0.5876132930513596,0.5876132930513596,0.5876132930513596,0.6132930513595166,3.2,1
6,0.6087613293051359,0.6087613293051359,0.6087613293051359,0.5558912386706949,6.4,1
7,0.6268882175226587,0.6268882175226587,0.6268882175226587,0.7492447129909365,12.8,1
8,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.1,10
9,0.5438066465256798,0.5438066465256798,0.5438066465256798,0.49395770392749244,0.2,10
10,0.6329305135951662,0.6329305135951662,0.6329305135951662,0.5,0.4,10
11,0.6132930513595166,0.6132930513595166,0.6132930513595166,0.5604229607250756,0.8,10
12,0.6737160120845922,0.6737160120845922,0.6737160120845922,0.7386706948640483,1.6,10
13,0.7809667673716012,0.7809667673716012,0.7809667673716012,0.783987915407855,3.2,10
14,0.783987915407855,0.783987915407855,0.783987915407855,0.8066465256797583,6.4,10
15,0.8474320241691843,0.8474320241691843,0.8474320241691843,0.8293051359516617,12.8,10
16,0.6540785498489426,0.6540785498489426,0.6540785498489426,0.49697885196374625,0.1,100
17,0.7885196374622356,0.7885196374622356,0.7885196374622356,0.6374622356495468,0.2,100
18,0.8157099697885196,0.8157099697885196,0.8157099697885196,0.7280966767371602,0.4,100
19,0.8429003021148036,0.8429003021148036,0.8429003021148036,0.7613293051359517,0.8,100
20,0.9003021148036254,0.9003021148036254,0.9003021148036254,0.8066465256797583,1.6,100
21,0.9486404833836858,0.9486404833836858,0.9486404833836858,0.8716012084592145,3.2,100
22,0.972809667673716,0.972809667673716,0.972809667673716,0.9003021148036254,6.4,100
23,0.9773413897280967,0.9773413897280967,0.9773413897280967,0.9033232628398792,12.8,100
24,0.879154078549849,0.879154078549849,0.879154078549849,0.7175226586102719,0.1,1000
25,0.9169184290030211,0.9169184290030211,0.9169184290030211,0.7416918429003021,0.2,1000
26,0.9516616314199395,0.9516616314199395,0.9516616314199395,0.7779456193353474,0.4,1000
27,0.9788519637462235,0.9788519637462235,0.9788519637462235,0.8413897280966768,0.8,1000
28,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.8972809667673716,1.6,1000
29,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9033232628398792,3.2,1000
30,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9138972809667674,6.4,1000
31,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9169184290030211,12.8,1000
32,0.9561933534743202,0.9561933534743202,0.9561933534743202,0.7507552870090635,0.1,10000
33,0.9667673716012085,0.9667673716012085,0.9667673716012085,0.7779456193353474,0.2,10000
34,0.9818731117824774,0.9818731117824774,0.9818731117824774,0.8655589123867069,0.4,10000
35,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9003021148036254,0.8,10000
36,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9093655589123867,1.6,10000
37,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9154078549848943,3.2,10000
38,0.9909365558912386,0.9909365558912386,0.9909365558912386,0.9169184290030211,6.4,10000
39,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9214501510574018,12.8,10000
40,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.7779456193353474,0.1,100000
41,0.9803625377643505,0.9803625377643505,0.9803625377643505,0.8912386706948641,0.2,100000
42,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9033232628398792,0.4,100000
43,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9108761329305136,0.8,100000
44,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9154078549848943,1.6,100000
45,0.9894259818731118,0.9894259818731118,0.9894259818731118,0.9138972809667674,3.2,100000
46,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9169184290030211,6.4,100000
47,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9199395770392749,12.8,100000
