,RMS,P2P,Mean,Variance,gamma,C
0,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.1,10
1,0.6344410876132931,0.6344410876132931,0.6344410876132931,0.56797583081571,1.0,10
2,0.8398791540785498,0.8398791540785498,0.8398791540785498,0.8096676737160121,10.0,10
3,0.9758308157099698,0.9758308157099698,0.9758308157099698,0.9063444108761329,100.0,10
4,0.6540785498489426,0.6540785498489426,0.6540785498489426,0.49697885196374625,0.1,100
5,0.8655589123867069,0.8655589123867069,0.8655589123867069,0.7764350453172205,1.0,100
6,0.9773413897280967,0.9773413897280967,0.9773413897280967,0.9033232628398792,10.0,100
7,0.986404833836858,0.986404833836858,0.986404833836858,0.9229607250755287,100.0,100
8,0.879154078549849,0.879154078549849,0.879154078549849,0.7175226586102719,0.1,1000
9,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.8685800604229608,1.0,1000
10,0.9818731117824774,0.9818731117824774,0.9818731117824774,0.9169184290030211,10.0,1000
11,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9214501510574018,100.0,1000
12,0.9561933534743202,0.9561933534743202,0.9561933534743202,0.7507552870090635,0.1,10000
13,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9018126888217523,1.0,10000
14,0.9894259818731118,0.9894259818731118,0.9894259818731118,0.9214501510574018,10.0,10000
15,0.986404833836858,0.986404833836858,0.986404833836858,0.9199395770392749,100.0,10000
16,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.7779456193353474,0.1,100000
17,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9138972809667674,1.0,100000
18,0.9879154078549849,0.9879154078549849,0.9879154078549849,0.9199395770392749,10.0,100000
19,0.986404833836858,0.986404833836858,0.986404833836858,0.9214501510574018,100.0,100000
20,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.8912386706948641,0.1,1000000
21,0.9833836858006042,0.9833836858006042,0.9833836858006042,0.9108761329305136,1.0,1000000
22,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.918429003021148,10.0,1000000
23,0.986404833836858,0.986404833836858,0.986404833836858,0.93202416918429,100.0,1000000
24,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.9003021148036254,0.1,10000000
25,0.986404833836858,0.986404833836858,0.986404833836858,0.9063444108761329,1.0,10000000
26,0.9818731117824774,0.9818731117824774,0.9818731117824774,0.9138972809667674,10.0,10000000
27,0.986404833836858,0.986404833836858,0.986404833836858,0.9350453172205438,100.0,10000000
