,RMS,P2P,Variance,Mean
KNN 1,5.433379650115967,5.483487367630005,5.51317286491394,5.517714262008667
KNN 2,5.800342082977295,5.786463975906372,4.296460151672363,5.817105770111084
KNN 3,5.899906158447266,5.929824352264404,6.586263418197632,5.813076972961426
KNN 4,5.918994665145874,6.039820194244385,6.25011134147644,5.933062791824341
KNN 5,5.98997163772583,5.954622507095337,6.51014518737793,5.9867308139801025
KNN 6,5.96228814125061,6.16376519203186,6.777264833450317,6.110009431838989
