,RMS,P2P,Variance,Mean
KNN 1,0.8569989929506546,0.8569989929506546,0.46173212487411885,0.8569989929506546
KNN 2,0.8499496475327291,0.8499496475327291,0.6364551863041289,0.8499496475327291
KNN 3,0.8585095669687814,0.8585095669687814,0.6555891238670695,0.8585095669687814
KNN 4,0.8494461228600202,0.8494461228600202,0.6646525679758308,0.8494461228600202
KNN 5,0.8413897280966768,0.8413897280966768,0.6631419939577039,0.8413897280966768
KNN 6,0.8353474320241692,0.8353474320241692,0.6500503524672709,0.8353474320241692
