,RMSP2P,Variance,Mean
KNN 1,5.9989306926727295,5.35464882850647,6.013152360916138
KNN 2,6.130433082580566,4.880922317504883,6.155963182449341
KNN 3,6.188600540161133,4.9824864864349365,6.277500629425049
KNN 4,5.9353859424591064,4.957809209823608,5.8152244091033936
KNN 5,5.876739025115967,5.654186725616455,5.814053058624268
KNN 6,6.4677441120147705,5.123908519744873,6.805328607559204
