,RMS,P2P,Mean,Variance
KNN 1,0.8569989929506546,0.8569989929506546,0.8569989929506546,0.46173212487411885
KNN 2,0.8534743202416919,0.8534743202416919,0.8534743202416919,0.6591137965760322
KNN 3,0.8580060422960725,0.8580060422960725,0.8580060422960725,0.6631419939577039
KNN 4,0.8625377643504532,0.8625377643504532,0.8625377643504532,0.6727089627391742
KNN 5,0.8489425981873112,0.8489425981873112,0.8489425981873112,0.6646525679758308
KNN 6,0.8494461228600202,0.8494461228600202,0.8494461228600202,0.6661631419939577
