,RMS,P2P,Mean,Variance,gamma,C
0,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.1,1
1,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.2,1
2,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.4,1
3,0.4944612286002014,0.4944612286002014,0.4944612286002014,0.5211480362537765,0.8,1
4,0.5327291037260826,0.5327291037260826,0.5327291037260826,0.5478348439073515,1.6,1
5,0.5483383685800605,0.5483383685800605,0.5483383685800605,0.5548841893252769,3.2,1
6,0.5558912386706949,0.5558912386706949,0.5558912386706949,0.5594159113796576,6.4,1
7,0.5755287009063444,0.5755287009063444,0.5755287009063444,0.5780463242698892,12.8,1
8,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.5030211480362538,0.1,10
9,0.49395770392749244,0.49395770392749244,0.49395770392749244,0.5448136958710977,0.2,10
10,0.5307150050352467,0.5307150050352467,0.5307150050352467,0.554380664652568,0.4,10
11,0.5488418932527693,0.5488418932527693,0.5488418932527693,0.5599194360523666,0.8,10
12,0.5745216515609265,0.5745216515609265,0.5745216515609265,0.5755287009063444,1.6,10
13,0.5976837865055388,0.5976837865055388,0.5976837865055388,0.5840886203423967,3.2,10
14,0.6012084592145015,0.6012084592145015,0.6012084592145015,0.5830815709969789,6.4,10
15,0.5986908358509567,0.5986908358509567,0.5986908358509567,0.5881168177240684,12.8,10
16,0.5050352467270897,0.5050352467270897,0.5050352467270897,0.5558912386706949,0.1,100
17,0.5453172205438066,0.5453172205438066,0.5453172205438066,0.5624370594159114,0.2,100
18,0.5649546827794562,0.5649546827794562,0.5649546827794562,0.5755287009063444,0.4,100
19,0.5971802618328298,0.5971802618328298,0.5971802618328298,0.581067472306143,0.8,100
20,0.5976837865055388,0.5976837865055388,0.5976837865055388,0.581570996978852,1.6,100
21,0.5986908358509567,0.5986908358509567,0.5986908358509567,0.5855991943605237,3.2,100
22,0.6112789526686808,0.6112789526686808,0.6112789526686808,0.5886203423967774,6.4,100
23,0.6193353474320241,0.6193353474320241,0.6193353474320241,0.5966767371601208,12.8,100
24,0.5473313192346425,0.5473313192346425,0.5473313192346425,0.5735146022155085,0.1,1000
25,0.5891238670694864,0.5891238670694864,0.5891238670694864,0.581570996978852,0.2,1000
26,0.5981873111782477,0.5981873111782477,0.5981873111782477,0.5840886203423967,0.4,1000
27,0.6012084592145015,0.6012084592145015,0.6012084592145015,0.5855991943605237,0.8,1000
28,0.6178247734138973,0.6178247734138973,0.6178247734138973,0.5855991943605237,1.6,1000
29,0.6188318227593153,0.6188318227593153,0.6188318227593153,0.5891238670694864,3.2,1000
30,0.6243705941591138,0.6243705941591138,0.6243705941591138,0.5981873111782477,6.4,1000
31,0.6233635448136958,0.6233635448136958,0.6233635448136958,0.6012084592145015,12.8,1000
32,0.5921450151057401,0.5921450151057401,0.5921450151057401,0.5785498489425982,0.1,10000
33,0.5986908358509567,0.5986908358509567,0.5986908358509567,0.5825780463242699,0.2,10000
34,0.5991943605236657,0.5991943605236657,0.5991943605236657,0.5825780463242699,0.4,10000
35,0.6193353474320241,0.6193353474320241,0.6193353474320241,0.5835850956696879,0.8,10000
36,0.6243705941591138,0.6243705941591138,0.6243705941591138,0.5861027190332326,1.6,10000
37,0.6273917421953675,0.6273917421953675,0.6273917421953675,0.5926485397784491,3.2,10000
38,0.6268882175226587,0.6268882175226587,0.6268882175226587,0.6037260825780463,6.4,10000
39,0.6334340382678751,0.6334340382678751,0.6334340382678751,0.5966767371601208,12.8,10000
40,0.5996978851963746,0.5996978851963746,0.5996978851963746,0.5825780463242699,0.1,100000
41,0.6017119838872105,0.6017119838872105,0.6017119838872105,0.5835850956696879,0.2,100000
42,0.6183282980866063,0.6183282980866063,0.6183282980866063,0.5845921450151057,0.4,100000
43,0.6263846928499497,0.6263846928499497,0.6263846928499497,0.5861027190332326,0.8,100000
44,0.6299093655589124,0.6299093655589124,0.6299093655589124,0.5901309164149043,1.6,100000
45,0.6304128902316214,0.6304128902316214,0.6304128902316214,0.5971802618328298,3.2,100000
46,0.6344410876132931,0.6344410876132931,0.6344410876132931,0.5966767371601208,6.4,100000
47,0.6324269889224572,0.6324269889224572,0.6324269889224572,0.5931520644511581,12.8,100000
