,RMS,P2P,Variance,Mean
KNN 1,11.563621044158936,11.54688024520874,8.78101921081543,11.532603740692139
KNN 2,11.851684808731079,11.820772886276245,7.96052360534668,11.813336372375488
KNN 3,12.796008348464966,12.744490385055542,8.081085443496704,12.818867206573486
KNN 4,9.511497020721436,9.439689636230469,8.177025556564331,9.458034038543701
KNN 5,11.748271226882935,11.781757593154907,8.311239004135132,11.781164407730103
KNN 6,10.447453498840332,10.463083267211914,8.33766508102417,10.44594430923462
