,RMS,P2P,Variance,Mean
KNN 1,13.871451139450073,13.639854669570923,8.978585004806519,13.647051334381104
KNN 2,13.964236974716187,13.874160289764404,9.611177682876587,13.947554588317871
KNN 3,14.800453424453735,14.725322008132935,10.946649312973022,14.902055501937866
KNN 4,14.28404951095581,14.360360860824585,9.806586742401123,14.32459044456482
KNN 5,14.434978246688843,14.34085464477539,10.405641555786133,14.502217054367065
KNN 6,10.940263748168945,10.853541135787964,10.034592628479004,10.872718811035156
