,RMS,P2P,Variance,Mean
KNN 1,2.325732469558716,2.3900012969970703,2.8802220821380615,2.3748908042907715
KNN 2,3.674931526184082,3.680835247039795,3.066800355911255,3.7077183723449707
KNN 3,3.3546953201293945,3.4706509113311768,3.0612804889678955,3.4382646083831787
KNN 4,2.9752197265625,3.0544915199279785,3.1116719245910645,2.958543300628662
KNN 5,3.0132782459259033,2.975156784057617,2.590106964111328,3.029522180557251
KNN 6,3.8001041412353516,3.8700101375579834,3.242231607437134,3.777961492538452
