,RMS,P2P,Variance,Mean
KNN 1,3.559922456741333,3.5329408645629883,3.188713788986206,3.5601067543029785
KNN 2,3.800736665725708,3.7073111534118652,1.1117603778839111,3.748385190963745
KNN 3,3.4881746768951416,3.3865408897399902,3.470383882522583,3.381852626800537
KNN 4,3.7880501747131348,4.069875001907349,3.079808235168457,3.8347370624542236
KNN 5,3.4651708602905273,3.448397397994995,3.4643290042877197,3.355424165725708
KNN 6,3.845147132873535,3.7422778606414795,4.00762939453125,3.840616226196289
