,RMS,P2P,Variance,Mean
KNN 1,0.9909365558912386,0.9909365558912386,0.9818731117824774,0.9909365558912386
KNN 2,0.9833836858006042,0.9833836858006042,0.9788519637462235,0.9833836858006042
KNN 3,0.986404833836858,0.986404833836858,0.9788519637462235,0.986404833836858
KNN 4,0.9788519637462235,0.9788519637462235,0.9788519637462235,0.9788519637462235
KNN 5,0.986404833836858,0.986404833836858,0.9773413897280967,0.986404833836858
KNN 6,0.9773413897280967,0.9773413897280967,0.9697885196374623,0.9773413897280967
