,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.8096676737160121
c1_g0.2,1.0,1.0,1.0,0.851963746223565
c1_g0.4,1.0,1.0,1.0,0.8957703927492447
c1_g0.8,1.0,1.0,1.0,0.9239677744209466
c1_g1.6,1.0,1.0,1.0,0.9405840886203424
c1_g3.2,1.0,1.0,1.0,0.94662638469285
c1_g6.4,1.0,1.0,1.0,0.9486404833836858
c1_g12.8,1.0,1.0,1.0,0.9531722054380665
c10_g0.1,1.0,1.0,1.0,0.8882175226586103
c10_g0.2,1.0,1.0,1.0,0.9138972809667674
c10_g0.4,1.0,1.0,1.0,0.9390735146022156
c10_g0.8,1.0,1.0,1.0,0.947129909365559
c10_g1.6,1.0,1.0,1.0,0.9496475327291037
c10_g3.2,1.0,1.0,1.0,0.9541792547834844
c10_g6.4,1.0,1.0,1.0,0.9572004028197382
c10_g12.8,1.0,1.0,1.0,0.9622356495468278
c100_g0.1,1.0,1.0,1.0,0.93202416918429
c100_g0.2,1.0,1.0,1.0,0.946122860020141
c100_g0.4,1.0,1.0,1.0,0.947129909365559
c100_g0.8,1.0,1.0,1.0,0.9551863041289023
c100_g1.6,1.0,1.0,1.0,0.9582074521651561
c100_g3.2,1.0,1.0,1.0,0.9622356495468278
c100_g6.4,1.0,1.0,1.0,0.9667673716012085
c100_g12.8,1.0,1.0,1.0,0.9697885196374623
c1000_g0.1,1.0,1.0,1.0,0.94662638469285
c1000_g0.2,1.0,1.0,1.0,0.9531722054380665
c1000_g0.4,1.0,1.0,1.0,0.9587109768378651
c1000_g0.8,1.0,1.0,1.0,0.9612286002014099
c1000_g1.6,1.0,1.0,1.0,0.9647532729103726
c1000_g3.2,1.0,1.0,1.0,0.9662638469284995
c1000_g6.4,1.0,1.0,1.0,0.9667673716012085
c1000_g12.8,1.0,1.0,1.0,0.9712990936555891
c10000_g0.1,1.0,1.0,1.0,0.959718026183283
c10000_g0.2,1.0,1.0,1.0,0.9587109768378651
c10000_g0.4,1.0,1.0,1.0,0.9627391742195368
c10000_g0.8,0.999496475327291,0.999496475327291,0.999496475327291,0.9632426988922457
c10000_g1.6,1.0,1.0,1.0,0.9672708962739174
c10000_g3.2,1.0,1.0,1.0,0.9707955689828801
c10000_g6.4,1.0,1.0,1.0,0.973816717019134
c10000_g12.8,1.0,1.0,1.0,0.9677744209466264
c100000_g0.1,1.0,1.0,1.0,0.9617321248741189
c100000_g0.2,1.0,1.0,1.0,0.9622356495468278
c100000_g0.4,1.0,1.0,1.0,0.9667673716012085
c100000_g0.8,0.999496475327291,0.999496475327291,0.999496475327291,0.9682779456193353
c100000_g1.6,1.0,1.0,1.0,0.9697885196374623
c100000_g3.2,1.0,1.0,1.0,0.9672708962739174
c100000_g6.4,1.0,1.0,1.0,0.9667673716012085
c100000_g12.8,1.0,1.0,1.0,0.9697885196374623
