,RMS,P2P,Variance,Mean
RF 40,22.725789785385132,25.468328714370728,31.952515363693237,22.88512635231018
RF 60,30.732884645462036,30.827790021896362,47.75358033180237,42.44577932357788
RF 80,67.12574529647827,41.12320327758789,47.544469118118286,45.704988956451416
RF 100,75.554696559906,44.68301749229431,74.1195776462555,65.18999457359314
RF 120,53.70327091217041,93.61369967460632,96.19154262542725,92.2536301612854
