,RMSP2P,Variance,Mean
KNN 1,5.065625190734863,1.515984058380127,5.010252237319946
KNN 2,5.717117547988892,4.243593692779541,5.752936601638794
KNN 3,4.708946228027344,5.514083623886108,4.679254055023193
KNN 4,6.720027208328247,4.427459716796875,6.68455958366394
KNN 5,4.809868574142456,4.358811616897583,4.774571895599365
KNN 6,5.31184983253479,4.489598751068115,5.378327369689941
