,RMS,P2P,Mean,Variance
KNN 1,0.8972809667673716,0.8972809667673716,0.8972809667673716,0.7401812688821753
KNN 2,0.8972809667673716,0.8972809667673716,0.8972809667673716,0.44939577039274925
KNN 3,0.8897280966767371,0.8897280966767371,0.8897280966767371,0.7341389728096677
KNN 4,0.8836858006042296,0.8836858006042296,0.8836858006042296,0.7348942598187311
KNN 5,0.8897280966767371,0.8897280966767371,0.8897280966767371,0.7273413897280967
KNN 6,0.8829305135951662,0.8829305135951662,0.8829305135951662,0.7212990936555891
