,RMS,P2P,Variance,Mean
KNN 1,9.722379207611084,9.864838123321533,7.763088226318359,10.137047052383423
KNN 2,11.02350902557373,10.739108324050903,8.063096523284912,10.714964866638184
KNN 3,10.938614845275879,10.924081802368164,8.180593967437744,10.90691876411438
KNN 4,8.653414964675903,8.691346883773804,8.252463817596436,8.73262643814087
KNN 5,10.355677127838135,10.359414100646973,8.265241146087646,10.514917373657227
KNN 6,12.650549411773682,12.19762635231018,8.265373229980469,12.149739265441895
