,RMS,P2P,Variance,Mean
KNN 1,13.201988935470581,13.286904573440552,10.883031606674194,13.264524698257446
KNN 2,14.169217348098755,14.145090579986572,11.711925983428955,14.106251239776611
KNN 3,14.390020847320557,14.358368635177612,3.8065474033355713,14.552021503448486
KNN 4,14.721519708633423,14.6703782081604,3.871752977371216,14.709859848022461
KNN 5,14.899528980255127,14.762293100357056,3.860461950302124,14.854148626327515
KNN 6,15.043823003768921,15.081299304962158,3.888930559158325,15.068641662597656
