,RMS,P2P,Variance,Mean
KNN 1,11.218433618545532,11.08995008468628,8.266408443450928,11.25851821899414
KNN 2,9.50638723373413,9.374414682388306,10.066263675689697,9.475022315979004
KNN 3,13.296299457550049,13.282798290252686,8.899805307388306,13.40002965927124
KNN 4,11.47064995765686,11.392455577850342,10.578402519226074,11.528350114822388
KNN 5,10.649447441101074,10.600156307220459,9.119838237762451,10.682724952697754
KNN 6,12.367147207260132,12.37227177619934,9.240034580230713,12.385376930236816
