,RMS,P2P,Variance,Mean
KNN 1,0.9679758308157099,0.9679758308157099,0.908761329305136,0.9679758308157099
KNN 2,0.9716012084592145,0.9716012084592145,0.9096676737160121,0.9716012084592145
KNN 3,0.9706948640483384,0.9706948640483384,0.9229607250755287,0.9706948640483384
KNN 4,0.9628398791540785,0.9628398791540785,0.9205438066465257,0.9628398791540785
KNN 5,0.9673716012084592,0.9673716012084592,0.9262839879154079,0.9673716012084592
KNN 6,0.9607250755287009,0.9607250755287009,0.923262839879154,0.9607250755287009
