,RMS,P2P,Variance,Mean
KNN 1,0.9767371601208459,0.9767371601208459,0.9003021148036254,0.9767371601208459
KNN 2,0.9725075528700906,0.9725075528700906,0.8870090634441088,0.9725075528700906
KNN 3,0.972809667673716,0.972809667673716,0.9063444108761329,0.972809667673716
KNN 4,0.9688821752265862,0.9688821752265862,0.8984894259818731,0.9688821752265862
KNN 5,0.9649546827794562,0.9649546827794562,0.9003021148036254,0.9649546827794562
KNN 6,0.9640483383685801,0.9640483383685801,0.8978851963746224,0.9640483383685801
