,RMS,P2P,Mean,Variance
KNN 1,0.9773413897280967,0.9773413897280967,0.9773413897280967,0.8977844914400805
KNN 2,0.9753272910372608,0.9753272910372608,0.9753272910372608,0.8932527693856999
KNN 3,0.9753272910372608,0.9753272910372608,0.9753272910372608,0.905337361530715
KNN 4,0.974320241691843,0.974320241691843,0.974320241691843,0.9088620342396777
KNN 5,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9073514602215509
KNN 6,0.9702920443101712,0.9702920443101712,0.9702920443101712,0.9093655589123867
