,RMS,P2P,Variance,Mean
NN tanh,246.7081639766693,220.4236159324646,111.93571257591248,160.75353479385376
NN relu,189.66076803207397,127.12140846252441,60.225825786590576,193.79577136039734
NN logistic,62.38911437988281,63.634918451309204,64.6965594291687,65.16913414001465
